Network,Station,Latitude,Longitude,Elevation
9D,1361,34.320126,-106.70118,1647.8
9D,1362,34.32246,-106.702682,1642.3
9D,1363,34.321056,-106.707748,1619.7
9D,1364,34.327274,-106.704407,1632.3
9D,1365,34.325661,-106.708191,1630.7
9D,1366,34.326324,-106.711037,1626.9
9D,1367,34.417698,-106.992775,1689.7
9D,1368,34.332191,-106.701782,1625.3
9D,1369,34.316322,-106.710289,1602.2
9D,1370,34.301201,-106.930748,1487.2
9D,1371,34.405426,-106.68026,1566.4
9D,1372,34.405876,-106.682114,1566.2
9D,1373,34.406322,-106.683876,1565.3
9D,1374,34.407143,-106.687263,1562.8
9D,1375,34.407406,-106.692657,1549.2
9D,1376,34.401726,-107.001495,1669.6
9D,1377,34.407421,-106.69001,1555.9
9D,1378,34.406036,-106.598129,1621.2
9D,1379,34.269932,-106.677299,1670.6
9D,1380,34.268105,-106.677971,1669.2
9D,1381,34.265484,-106.678078,1673.1
9D,1382,34.241959,-106.675308,1705.8
9D,1383,34.262329,-106.675156,1676.0
9D,1384,34.260235,-106.673477,1686.1
9D,1385,34.260159,-106.670578,1709.7
9D,1386,34.25983,-106.666428,1710.0
9D,1387,34.260502,-106.662804,1709.0
9D,1388,34.261139,-106.65963,1719.4
9D,1389,34.26284,-106.656609,1748.4
9D,1390,34.263336,-106.652901,1755.7
9D,1391,34.264137,-106.648628,1768.8
9D,1392,34.264111,-106.644325,1768.3
9D,1393,34.263485,-106.640816,1763.8
9D,1394,34.265968,-106.638992,1770.6
9D,1395,34.267593,-106.636269,1772.2
9D,1396,34.268513,-106.632767,1779.5
9D,1397,34.268913,-106.629349,1785.6
9D,1398,34.269787,-106.625801,1792.8
9D,1399,34.270947,-106.622086,1800.7
9D,1400,34.245537,-106.674408,1698.1
9D,1401,34.238293,-106.676552,1708.3
9D,1402,34.222717,-106.681824,1705.5
9D,1403,34.310078,-106.693909,1651.3
9D,1404,34.310055,-106.693893,1650.3
9D,1405,34.217728,-106.772621,1568.8
9D,1406,34.234821,-106.757294,1607.0
9D,1407,34.310066,-106.693901,1649.6
9D,1408,34.280888,-106.678612,1689.3
9D,1409,34.217758,-106.772614,1568.9
9D,1410,34.310074,-106.693886,1650.0
9D,1411,34.217697,-106.772614,1568.6
9D,1412,34.217697,-106.772575,1568.3
9D,1413,34.217728,-106.772568,1568.7
9D,1414,34.217754,-106.772583,1569.2
9D,1415,34.217201,-106.717339,1666.4
9D,1416,34.248741,-106.742867,1608.8
9D,1417,34.245869,-106.745461,1615.0
9D,1418,34.225563,-106.680183,1700.2
9D,1419,34.254368,-106.739059,1609.2
9D,1420,34.384838,-106.911674,1534.3
9D,1421,34.254585,-106.983887,1610.3
9D,1422,34.296959,-106.576508,1868.7
9D,1423,34.405228,-106.999031,1684.5
9D,1424,34.310707,-106.571014,1901.6
9D,1425,34.295067,-106.576912,1869.0
9D,1426,34.407825,-106.987915,1683.9
9D,1427,34.293102,-106.578041,1863.9
9D,1428,34.291332,-106.580627,1866.6
9D,1429,34.292618,-106.579102,1859.7
9D,1430,34.293999,-106.57737,1867.4
9D,1431,34.395699,-107.007919,1689.5
9D,1432,34.298222,-106.57637,1870.6
9D,1433,34.300117,-106.575943,1874.7
9D,1434,34.301186,-106.575104,1878.4
9D,1435,34.302677,-106.574631,1881.9
9D,1436,34.304207,-106.574532,1888.3
9D,1437,34.305904,-106.573853,1887.1
9D,1438,34.307426,-106.572861,1895.9
9D,1439,34.309326,-106.571739,1902.5
9D,1440,34.405197,-106.996521,1680.5
9D,1441,34.312855,-106.569412,1905.9
9D,1442,34.31435,-106.568375,1913.7
9D,1443,34.315735,-106.566818,1912.5
9D,1444,34.317127,-106.564949,1917.4
9D,1445,34.318691,-106.564079,1921.2
9D,1446,34.321156,-106.563736,1928.5
